order_id,customer_id,order_date,ship_date,status,total_amount,payment_method,notes
100039,1446,12-Sep-2024,2024-09-22,delivered,6.68,boleto,priority
100040,1971,11-11-2024,11-22-2024,shipped,668.56,pix,fragile
100041,1567,11/05/2023,18/05/2023,cancelled,304.45,credit_card,priority
100042,1440,15-Mar-2025,2025/03/21,returned,513.62,boleto,gift_wrap
100043,1527,10-Nov-2024,24/11/2024,returned,-228.52,credit_card,
100044,1486,2024-09-17,2024/09/28,shipped,247.76,credit_card,
100045,1906,2023/04/20,03-May-2023,shipped,559.62,credit_card,fragile
100046,1475,14-Nov-2024,2024/11/24,cancelled,720.68,paypal,
100047,1456,07/07/2025,15/07/2025,delivered,280.92,paypal,gift_wrap
100048,1450,03-21-2023,27-Mar-2023,pending,155.08,paypal,gift_wrap
100049,1219,2023/03/07,2023-03-16,shipped,423.04,credit_card,
100050,1589,2024/01/25,,shipped,754.71,paypal,delay_expected
100051,1559,30-Mar-2025,2025/04/07,shipped,391.91,paypal,gift_wrap
100052,1478,30/07/2025,2025/08/08,shipped,664.68,credit_card,gift_wrap
100053,1887,17/04/2024,,shipped,215.60,pix,priority
100054,1388,2023/10/12,14-Oct-2023,pending,952.16,boleto,gift_wrap
100055,1980,2024-10-29,2024-11-02,cancelled,242.35,paypal,gift_wrap
100056,1970,2023/08/12,25-Aug-2023,cancelled,749.19,credit_card,
100057,1987,2023-11-15,2023/11/20,shipped,716.44,credit_card,delay_expected
100058,1642,2023-09-06,11-Sep-2023,delivered,797.25,credit_card,priority
100059,1677,2024-01-15,2024/01/21,delivered,110.01,pix,gift_wrap
100060,1470,25/12/2024,01-06-2025,cancelled,920.02,paypal,fragile
100061,1748,08-29-2024,2024-09-02,shipped,453.55,paypal,delay_expected
100062,1388,2023-12-11,17/12/2023,shipped,262.06,pix,delay_expected
100063,1282,2024-07-23,2024/07/27,shipped,759.37,paypal,gift_wrap
100064,1458,2025-03-22,,shipped,693.33,pix,gift_wrap
100065,1484,20-Jul-2024,08-01-2024,delivered,274.56,pix,first-time customer
100066,1197,2023-11-20,03/12/2023,shipped,486.78,pix,
100067,1303,08-21-2023,22/08/2023,shipped,974.42,pix,gift_wrap
100068,1653,2025/06/08,2025/06/09,shipped,344.00,credit_card,priority
100069,1489,2023-04-27,2023-04-29,pending,812.09,pix,
100070,1121,2024/07/25,07-Aug-2024,shipped,908.96,pix,
100071,1439,09-Nov-2023,2023-11-19,delivered,211.75,boleto,priority
100072,1160,03/09/2023,6-9-2023,shipped,595.84,pix,
100073,1723,2023/10/17,,shipped,268.23,boleto,fragile
100074,1230,25/10/2024,2024-11-08,pending,311.07,pix,fragile
100075,1705,2023/11/08,2023/11/17,pending,44.66,paypal,gift_wrap
100076,1256,2023-01-27,07-Feb-2023,shipped,25.64,pix,delay_expected
100077,1774,2023/06/29,07/07/2023,delivered,438.71,paypal,
100078,1418,12-08-2023,2023/12/22,returned,291.78,credit_card,fragile
100079,1258,2023-11-28,2023-12-05,returned,544.88,boleto,delay_expected
100080,1774,2024/05/25,29/05/2024,delivered,440.93,paypal,
100081,1645,15/09/2024,20-Sep-2024,shipped,228.58,credit_card,fragile
100082,1663,02/05/2025,05-14-2025,shipped,485.09,paypal,first-time customer
100083,1148,28/01/2024,06/02/2024,delivered,279.87,paypal,priority
100084,1519,2023-10-01,06-Oct-2023,delivered,492.19,boleto,fragile
100085,1353,07-Dec-2023,12-14-2023,delivered,980.87,boleto,delay_expected
100086,1876,2025/03/05,,delivered,706.70,paypal,fragile
100087,1811,20/04/2025,21-Apr-2025,shipped,104.86,paypal,
100088,1467,16/01/2023,2023-01-27,shipped,969.36,pix,delay_expected
100089,1665,03-24-2023,04-07-2023,cancelled,888.00,paypal,
100090,1632,12/03/2023,2023-03-17,shipped,102.95,credit_card,fragile
100091,1306,2025-07-14,,delivered,296.90,pix,fragile
100092,1543,26-Feb-2024,2024-02-29,cancelled,385.63,boleto,fragile
100093,1146,2023/08/26,2023-09-03,delivered,467.93,pix,gift_wrap
100094,1075,03-28-2024,2024/04/02,returned,459.55,paypal,
100095,1242,26-Jan-2024,01-31-2024,pending,830.89,paypal,priority
100096,1885,2024-12-03,12-15-2024,delivered,233.97,pix,first-time customer
100097,1635,14/09/2023,09-25-2023,delivered,38.20,pix,gift_wrap
100098,1931,10-30-2023,02-Nov-2023,delivered,369.03,pix,
100099,1935,2025/04/24,04-29-2025,delivered,470.99,credit_card,first-time customer
100100,1231,2025/05/30,2025-06-12,delivered,18.85,credit_card,fragile
100101,1766,11-19-2024,12-03-2024,pending,237.65,credit_card,delay_expected
100102,1574,02-Dec-2023,2023/12/04,delivered,305.68,paypal,
100103,1968,02-08-2023,10-Feb-2023,pending,456.38,paypal,delay_expected
100104,1158,2025/06/25,2025/07/09,delivered,283.34,pix,first-time customer
100105,1973,08-30-2023,,returned,546.74,pix,
100106,1194,2025-09-18,02/10/2025,cancelled,599.16,credit_card,
100107,1249,09-May-2023,23/05/2023,shipped,813.99,boleto,priority
100108,1807,11-Jul-2025,,delivered,148.96,boleto,delay_expected
100109,1178,2023-04-23,29/04/2023,shipped,20.70,pix,
100110,1431,2024-06-22,06-30-2024,shipped,113.51,boleto,delay_expected
100111,1802,19-Jul-2025,2025-07-30,delivered,848.06,paypal,gift_wrap
100112,1729,2025/07/20,,pending,610.26,credit_card,first-time customer
100113,1648,22-Aug-2024,29-Aug-2024,shipped,508.02,paypal,
100114,1117,23-May-2025,27/05/2025,shipped,828.28,paypal,fragile
100115,1320,03-13-2024,2024/03/19,pending,832.61,credit_card,fragile
100116,1756,17/01/2024,27-Jan-2024,shipped,126.62,pix,
100117,1768,2024-03-09,2024-03-19,shipped,216.68,paypal,first-time customer
100118,1358,15-May-2025,28/05/2025,delivered,845.93,credit_card,delay_expected
100119,1849,12-11-2024,,shipped,763.60,pix,priority
100120,1890,27-May-2023,2023-05-29,pending,532.83,paypal,fragile
100121,1161,01-14-2024,27-Jan-2024,pending,57.35,boleto,
100122,1690,03-25-2023,2023/04/01,shipped,219.49,credit_card,priority
100123,1290,25-Nov-2024,06/12/2024,shipped,601.33,credit_card,first-time customer
100124,1216,24/02/2025,2025-03-01,shipped,433.50,boleto,fragile
100125,1235,27-May-2024,2024/06/09,delivered,47.09,credit_card,fragile
100126,1882,17-Nov-2023,2023/11/24,shipped,408.01,pix,first-time customer
100127,1632,04-16-2024,,delivered,247.10,paypal,delay_expected
100128,1891,11-14-2023,27-Nov-2023,cancelled,532.95,boleto,
100129,1744,08/09/2025,11/09/2025,cancelled,761.41,credit_card,first-time customer
100130,1643,2024/05/20,02-Jun-2024,cancelled,986.60,pix,
100131,1323,2023/06/04,,shipped,306.31,pix,delay_expected
100132,1519,03-17-2023,03-18-2023,pending,864.93,credit_card,delay_expected
100133,1393,18-Apr-2024,2024-05-01,shipped,810.77,boleto,priority
100134,1513,2023-06-04,06-17-2023,delivered,88.91,boleto,
100135,1448,25-Mar-2024,03-28-2024,shipped,775.59,credit_card,
100136,1342,03-09-2023,,returned,287.73,boleto,priority
100137,1679,05-25-2023,2023/06/05,pending,710.29,credit_card,priority
100138,1658,03-21-2025,01-Apr-2025,pending,672.10,pix,
100139,1184,31/08/2025,13/09/2025,delivered,159.17,pix,
100140,1519,28-Feb-2025,03-09-2025,delivered,619.94,paypal,first-time customer
100141,1851,10-Dec-2024,2024-12-13,shipped,677.98,boleto,fragile
100142,1770,2025/02/05,2025/02/09,delivered,198.05,paypal,fragile
100143,1796,27-Jan-2024,30-Jan-2024,pending,253.75,paypal,
100144,1956,16-Apr-2023,21/04/2023,shipped,905.78,boleto,
100145,1969,21/07/2025,2025/07/27,pending,504.50,boleto,fragile
100146,1383,2023-08-18,08-20-2023,delivered,141.91,pix,
100147,1851,2023/05/23,2023-05-24,shipped,835.79,paypal,
100148,1243,2023-11-05,,shipped,794.93,paypal,
100149,1926,26-May-2024,06/06/2024,delivered,294.82,credit_card,delay_expected
100150,1584,02/03/2024,03-04-2024,pending,528.43,credit_card,fragile
100151,1044,2024/10/12,10-17-2024,delivered,348.08,credit_card,
100152,1774,07/12/2023,,shipped,814.44,boleto,
100153,1475,2024/12/13,2024/12/26,pending,205.58,boleto,
100154,1317,2024/06/11,2024-06-20,delivered,195.15,pix,
100155,1886,11-02-2024,2024/11/15,delivered,895.16,paypal,priority
100156,1508,2024/12/09,2024-12-22,delivered,83.53,boleto,delay_expected
100157,1105,03-23-2023,2023/03/28,pending,446.69,paypal,
100158,1933,28-Dec-2023,2024-01-02,pending,639.32,pix,delay_expected
100159,1695,2023-06-13,2023/06/23,pending,71.90,pix,priority
100160,1580,03-Feb-2023,02-11-2023,shipped,81.50,boleto,delay_expected
100161,1321,10-27-2024,29/10/2024,shipped,390.05,credit_card,priority
100162,1720,01/04/2024,2024/04/06,shipped,140.05,credit_card,fragile
100163,1730,2024-03-31,04-14-2024,delivered,552.25,pix,priority
100164,1728,27/12/2024,05/01/2025,delivered,240.55,paypal,
100165,1586,2024/01/13,2024-01-22,pending,401.17,paypal,delay_expected
100166,1419,23-Apr-2025,,delivered,644.13,paypal,fragile
100167,1352,12-May-2023,15/05/2023,shipped,911.16,credit_card,
100168,1156,08/11/2023,20-Nov-2023,delivered,846.70,pix,first-time customer
100169,1564,09/10/2023,19-Oct-2023,cancelled,593.85,boleto,first-time customer
100170,1737,12-Jul-2025,2025-07-22,pending,948.80,pix,gift_wrap
100171,1585,02-Mar-2024,10-Mar-2024,shipped,956.87,paypal,first-time customer
100172,1701,02-20-2024,2024/03/03,shipped,467.12,pix,delay_expected
100173,1882,01-05-2025,2025/01/19,pending,373.69,credit_card,priority
100174,1125,2023/10/01,2023/10/03,delivered,421.04,boleto,
100175,1591,01-08-2025,11-Jan-2025,shipped,879.68,paypal,
100176,1402,2024/06/01,2024-06-05,pending,497.42,paypal,priority
100177,1867,2023/04/21,2023/04/26,shipped,403.58,boleto,priority
100178,1075,31-Jan-2024,09-Feb-2024,returned,123.22,paypal,priority
100179,1347,07-25-2024,2024/07/29,shipped,50.08,boleto,gift_wrap
100180,1485,2024/06/15,24-Jun-2024,shipped,395.99,pix,delay_expected
100181,1848,05-Jun-2024,2024-06-15,shipped,675.44,paypal,delay_expected
100182,1920,2025-01-12,17-Jan-2025,shipped,722.79,paypal,first-time customer
100183,1738,2024/09/26,07-Oct-2024,delivered,114.35,credit_card,fragile
100184,1155,27/02/2024,2024/03/11,delivered,737.16,credit_card,gift_wrap
100185,1212,07-28-2024,08-05-2024,delivered,462.37,pix,delay_expected
100186,1790,06-07-2025,06-11-2025,shipped,228.74,pix,
100187,1212,2024/12/07,12-13-2024,shipped,575.61,paypal,fragile
100188,1977,02/03/2025,2025-03-07,shipped,445.16,pix,gift_wrap
100189,1206,27-Apr-2025,06/05/2025,pending,742.19,boleto,first-time customer
100190,1926,27/06/2024,06-28-2024,delivered,105.04,boleto,
100191,1951,2023/06/11,19/06/2023,delivered,290.81,pix,gift_wrap
100192,1787,02-Apr-2023,2023-04-14,delivered,179.19,boleto,
100193,1406,2025/03/17,03-29-2025,delivered,14.22,credit_card,priority
100194,1656,10-Jul-2024,2024/07/13,shipped,809.77,pix,first-time customer
100195,1663,21/09/2023,,shipped,298.55,boleto,first-time customer
100196,1654,2025/07/07,2025/07/16,returned,-188.86,pix,first-time customer
100197,1392,2023/08/30,05-Sep-2023,pending,655.41,boleto,
100198,1476,11/11/2023,11-20-2023,returned,640.52,pix,delay_expected
100199,1980,2023/05/17,05-29-2023,shipped,551.49,paypal,
100200,1680,25/04/2025,2025-05-06,shipped,530.53,pix,
100201,1114,05-Mar-2023,09/03/2023,pending,855.21,paypal,
100202,1734,2024/08/20,,shipped,809.65,paypal,first-time customer
100203,1467,2024-07-31,2024-08-11,shipped,817.37,boleto,delay_expected
100204,1433,2023-12-19,2023-12-20,delivered,474.71,pix,fragile
100205,1138,2025/02/23,2025/03/02,shipped,684.32,boleto,gift_wrap
100206,1121,02-Jul-2023,05/07/2023,delivered,757.40,pix,fragile
100207,1557,10-Mar-2024,03-14-2024,pending,192.54,credit_card,
100208,1429,2024-09-21,2024-09-23,shipped,673.66,credit_card,first-time customer
100209,1411,25/03/2024,2024-04-07,pending,993.52,boleto,
100210,1589,23-Nov-2023,04/12/2023,shipped,147.54,boleto,fragile
100211,1062,24-Jul-2024,2024/07/27,shipped,51.65,pix,gift_wrap
100212,1804,06-21-2024,2024/06/28,pending,540.24,boleto,
100213,1878,25/12/2024,2024/12/26,shipped,138.42,boleto,priority
100214,1662,2023/03/22,24/03/2023,pending,380.28,credit_card,
100215,1823,18-Feb-2025,27/02/2025,delivered,336.30,credit_card,first-time customer
100216,1985,2025-01-29,11/02/2025,returned,705.25,boleto,delay_expected
100217,1289,2024/01/25,01-31-2024,shipped,499.79,credit_card,
100218,1480,02-18-2025,2025-02-24,shipped,225.17,boleto,
100219,1957,21-Aug-2024,08-26-2024,shipped,571.94,boleto,fragile
100220,1966,12-02-2024,2024/12/16,shipped,734.11,pix,first-time customer
100221,1559,15/05/2024,2024-05-24,shipped,839.87,credit_card,
100222,1782,2023/01/07,18/01/2023,pending,508.20,pix,
100223,1682,14-Aug-2025,2025-08-25,shipped,414.28,credit_card,delay_expected
100224,1548,09-27-2025,,delivered,675.66,boleto,
100225,1536,02/06/2023,06-11-2023,shipped,399.91,pix,fragile
100226,1249,14/12/2024,2024-12-28,pending,382.37,paypal,
100227,1719,2023-06-25,07-02-2023,shipped,858.67,credit_card,delay_expected
100228,1235,05-Aug-2023,08-06-2023,delivered,565.69,credit_card,first-time customer
100229,1322,17/01/2023,2023/01/30,delivered,302.78,boleto,delay_expected
100230,1398,24-Nov-2024,2024-12-07,shipped,974.45,credit_card,
100231,1858,03-19-2023,2023/03/29,delivered,329.74,pix,
100232,1502,08-22-2023,29-Aug-2023,returned,90.27,boleto,gift_wrap
100233,1274,2023/06/07,2023/06/18,shipped,111.02,credit_card,priority
100234,1779,2023-10-04,07-Oct-2023,shipped,411.00,credit_card,
100235,1095,03-Sep-2024,09-17-2024,shipped,780.27,boleto,delay_expected
100236,1701,25/01/2024,30/01/2024,pending,437.50,paypal,priority
100237,1078,01-05-2024,17-Jan-2024,cancelled,460.57,boleto,priority
100238,1405,07-Dec-2023,12-21-2023,shipped,824.42,boleto,priority
100239,1970,12/12/2024,12-15-2024,shipped,696.48,paypal,delay_expected
100240,1333,01-21-2024,28-Jan-2024,pending,997.28,boleto,gift_wrap
100241,1027,2025/09/02,09-06-2025,delivered,73.81,paypal,gift_wrap
100242,1648,07/11/2023,2023/11/10,pending,990.75,paypal,delay_expected
100243,1518,2025/08/03,16-Aug-2025,shipped,914.83,credit_card,
100244,1680,30/12/2023,2023/12/31,delivered,334.94,paypal,
100245,1264,16-Aug-2023,25-Aug-2023,shipped,377.25,paypal,
100246,1707,27/05/2024,05-28-2024,shipped,961.92,credit_card,
100247,1145,12-23-2023,2024/01/05,shipped,102.13,paypal,priority
100248,1045,2025-04-09,,shipped,113.82,boleto,gift_wrap
100249,1178,19/07/2024,26/07/2024,delivered,631.61,boleto,gift_wrap
100250,1405,30-Jan-2023,2023/02/07,pending,218.72,pix,
100251,1815,06-Mar-2023,03-20-2023,shipped,460.26,pix,gift_wrap
100252,1540,09-16-2025,2025-09-26,shipped,846.29,boleto,
100253,1819,01-Nov-2023,2023-11-12,shipped,121.36,pix,gift_wrap
100254,1397,04-Mar-2024,2024/03/11,cancelled,694.97,boleto,delay_expected
100255,1295,24/05/2023,06-01-2023,delivered,487.19,boleto,
100256,1575,2024/06/01,2024/06/09,shipped,87.26,credit_card,
100257,1299,02-03-2023,2023/02/08,shipped,773.68,paypal,delay_expected
100258,1586,04-27-2023,11-May-2023,delivered,46.40,paypal,delay_expected
100259,1435,15/04/2023,04-16-2023,delivered,91.55,credit_card,
100260,1214,10-Apr-2025,2025/04/24,pending,143.54,boleto,
100261,1060,08-06-2024,08-16-2024,delivered,296.17,pix,
100262,1921,2024-11-26,2024-12-09,delivered,867.71,boleto,gift_wrap
100263,1255,05-30-2023,2023/06/12,shipped,579.54,pix,gift_wrap
100264,1462,2023-03-19,03-31-2023,shipped,490.60,credit_card,
100265,1750,2023/04/06,2023-04-18,delivered,400.73,paypal,
100266,1274,11-27-2023,2023/12/07,delivered,894.68,credit_card,
100267,1802,2025/05/06,,delivered,162.19,paypal,
100268,1438,27/07/2023,08-01-2023,pending,363.63,credit_card,priority
100269,1664,2023-06-19,24/06/2023,shipped,95.74,credit_card,
100270,1079,16-May-2023,2023-05-27,returned,818.02,paypal,gift_wrap
100271,1072,2023/08/23,,delivered,107.69,pix,priority
100272,1792,12/04/2025,23-Apr-2025,shipped,612.27,boleto,fragile
100273,1218,05/10/2024,15/10/2024,pending,104.96,credit_card,delay_expected
100274,1359,2025/09/13,2025-09-16,shipped,602.99,pix,
100275,1027,05-18-2025,2025/05/28,shipped,59.30,boleto,fragile
100276,1246,26-May-2024,,delivered,17.01,pix,priority
100277,1881,09-May-2025,2025/05/18,delivered,771.52,credit_card,delay_expected
100278,1268,2023-08-09,08-22-2023,cancelled,503.54,paypal,fragile
100279,1084,17-Oct-2024,10-20-2024,pending,921.32,boleto,delay_expected
100280,1600,2024-10-11,18/10/2024,pending,90.78,paypal,
100281,1623,02-26-2023,2023-03-09,pending,141.53,credit_card,first-time customer
100282,1355,19-Jun-2024,07-01-2024,pending,782.22,pix,gift_wrap
100283,1789,2025-07-10,2025-07-17,shipped,975.18,credit_card,fragile
100284,1368,2023/02/26,03-01-2023,delivered,894.80,credit_card,first-time customer
100285,1002,2023-02-15,23/02/2023,pending,960.54,credit_card,delay_expected
100286,1731,2025/01/28,02-01-2025,shipped,82.50,pix,
100287,1923,23/02/2023,2023/03/04,pending,467.77,pix,
100288,1335,30-Mar-2023,05-Apr-2023,delivered,740.88,boleto,fragile
100289,1995,20/05/2024,29/05/2024,pending,932.74,credit_card,first-time customer
100290,1651,2025-05-09,2025/05/10,delivered,728.58,credit_card,first-time customer
100291,1243,2024/03/05,2024-03-08,pending,235.32,paypal,gift_wrap
100292,1469,2025-09-24,2025/10/03,pending,569.98,paypal,gift_wrap
100293,1242,10-26-2023,11-08-2023,shipped,275.60,credit_card,first-time customer
100294,1788,2024-08-21,08-24-2024,shipped,538.24,boleto,fragile
100295,1271,2025-05-22,,delivered,307.69,credit_card,first-time customer
100296,1335,2023-06-01,2023-06-07,returned,263.87,credit_card,fragile
100297,1569,05-Feb-2025,13/02/2025,pending,66.36,boleto,first-time customer
100298,1410,2024-01-17,2024-01-22,pending,69.15,paypal,
100299,1926,05-17-2025,25-May-2025,shipped,725.81,paypal,
100300,1436,06-26-2023,2023/06/29,delivered,39.48,boleto,gift_wrap
100301,1421,22-Jun-2025,24/06/2025,shipped,644.44,boleto,gift_wrap
100302,1556,2025-03-24,2025/04/06,shipped,487.26,pix,fragile
100303,1026,23-Nov-2023,2023-12-06,delivered,474.33,pix,
100304,1238,24/09/2025,05-Oct-2025,delivered,917.67,credit_card,
100305,1224,2024/08/12,26/08/2024,pending,594.56,pix,delay_expected
100306,1717,27-Dec-2023,2024/01/06,shipped,179.68,credit_card,
100307,1616,2023-08-13,14-Aug-2023,shipped,134.84,boleto,
100308,1331,2023-03-02,2023-03-14,delivered,861.37,credit_card,priority
100309,1678,10-Feb-2024,15/02/2024,delivered,439.68,paypal,gift_wrap
100310,1724,18-Sep-2025,28/09/2025,returned,815.38,pix,first-time customer
100311,1001,29-Aug-2025,2025-09-11,pending,321.63,boleto,gift_wrap
100312,1959,23/05/2024,05-25-2024,pending,885.89,credit_card,
100313,1654,01-16-2025,2025-01-21,shipped,788.08,credit_card,
100314,1750,05/03/2024,03-13-2024,shipped,105.92,paypal,
100315,1666,15/02/2025,2025-02-17,shipped,322.12,credit_card,
100316,1909,20/01/2024,2024-01-29,shipped,985.35,paypal,gift_wrap
100317,1965,31/10/2024,2024-11-07,shipped,974.53,paypal,gift_wrap
100318,1947,17-Jan-2025,2025-01-22,pending,573.91,paypal,first-time customer
100319,1003,2024-03-13,2024/03/24,pending,30.61,boleto,gift_wrap
100320,1083,2024-04-29,05-06-2024,pending,546.41,boleto,priority
100321,1378,2023/07/11,,shipped,267.08,pix,delay_expected
100322,1770,2024-12-14,,shipped,543.74,boleto,delay_expected
100323,1396,18-Apr-2025,2025/04/27,shipped,239.46,pix,
100324,1874,2025-01-01,10-Jan-2025,pending,949.51,paypal,first-time customer
100325,1171,22/09/2025,2025-09-25,delivered,438.22,boleto,
100326,1327,2025-07-21,,shipped,554.29,pix,delay_expected
100327,1894,13-Jan-2023,2023/01/26,pending,568.76,credit_card,
100328,1103,03-15-2025,03-21-2025,shipped,488.16,paypal,
100329,1412,28-May-2023,2023/06/09,delivered,334.84,boleto,
100330,1942,10-03-2023,,delivered,306.54,pix,
100331,1712,2024-12-02,2024/12/06,delivered,324.26,paypal,delay_expected
100332,1192,28/03/2024,04-Apr-2024,delivered,821.91,boleto,
100333,1518,18/02/2024,2024-02-27,pending,875.80,boleto,
100334,1033,2024-04-12,04-24-2024,delivered,507.60,credit_card,gift_wrap
100335,1381,15-May-2024,29-May-2024,shipped,167.70,pix,gift_wrap
100336,1092,2023-10-19,22/10/2023,delivered,649.14,boleto,priority
100337,1525,2023-01-21,24-Jan-2023,delivered,227.65,pix,gift_wrap
100338,1658,2023/10/09,10-23-2023,shipped,305.63,paypal,delay_expected
100339,1523,11-09-2024,11-19-2024,returned,484.33,pix,gift_wrap
100340,1283,09-25-2023,2023-10-04,delivered,803.35,paypal,gift_wrap
100341,1143,2025-01-08,2025/01/13,shipped,738.05,boleto,priority
100342,1227,03-Dec-2024,12-11-2024,shipped,846.19,boleto,priority
100343,1131,01-28-2025,06/02/2025,delivered,900.09,credit_card,first-time customer
100344,1762,06-11-2025,17-Jun-2025,shipped,851.96,paypal,
100345,1597,17-Aug-2024,,delivered,502.97,paypal,delay_expected
100346,1055,10/06/2025,14-Jun-2025,delivered,986.72,boleto,priority
100347,1184,2025-03-08,03-19-2025,cancelled,9.69,pix,first-time customer
100348,1172,13/08/2024,26/08/2024,cancelled,635.32,paypal,fragile
100349,1392,2023-01-05,2023-01-17,delivered,758.06,boleto,
100350,1641,21/01/2025,2025-01-27,shipped,590.73,boleto,
100351,1305,08-29-2025,09-07-2025,shipped,688.35,boleto,priority
100352,1501,03/01/2024,16/01/2024,shipped,984.96,boleto,gift_wrap
100353,1516,2023-06-23,2023/07/04,delivered,259.51,credit_card,delay_expected
100354,1677,2023-04-21,,pending,447.09,credit_card,delay_expected
100355,1718,06/06/2023,17-6-2023,shipped,105.47,pix,delay_expected
100356,1140,2024-03-04,2024-03-14,delivered,500.25,boleto,
100357,1535,23/09/2025,2025-09-30,shipped,910.80,paypal,priority
100358,1013,2024-11-18,2024/12/02,pending,94.63,credit_card,gift_wrap
100359,1926,20/09/2023,2023-09-25,pending,178.83,credit_card,
100360,1820,11-24-2024,2024-11-26,pending,142.70,boleto,priority
100361,1448,05-Sep-2025,09-17-2025,pending,403.77,paypal,priority
100362,1706,2025/05/21,01/06/2025,pending,697.69,credit_card,
100363,1426,22-Jul-2025,01/08/2025,cancelled,780.27,credit_card,
100364,1858,14/01/2025,2025/01/22,shipped,68.02,pix,
100365,1694,21-Jun-2024,06-25-2024,shipped,689.80,credit_card,fragile
100366,1254,05-08-2024,19-May-2024,delivered,614.85,credit_card,gift_wrap
100367,1517,2025/05/19,2025/06/02,shipped,334.24,pix,
100368,1563,2024/10/20,2024/10/24,delivered,450.86,paypal,fragile
100369,1509,2025-02-02,09-Feb-2025,pending,95.44,pix,delay_expected
100370,1670,2024/11/18,24/11/2024,delivered,335.31,paypal,gift_wrap
100371,1733,2024-04-08,,returned,7.19,pix,delay_expected
100372,1718,2023-04-19,2023/04/27,pending,612.80,boleto,
100373,1402,2023/08/09,2023-08-13,delivered,51.27,credit_card,
100374,1468,05-Nov-2024,2024-11-08,shipped,53.33,paypal,
100375,1946,04/06/2024,07/06/2024,pending,659.23,pix,delay_expected
100376,1428,15/09/2024,2024/09/21,delivered,142.49,pix,
100377,1881,18-Nov-2023,11-22-2023,returned,-921.59,boleto,delay_expected
100378,1652,2023-11-27,06-Dec-2023,delivered,711.57,pix,
100379,1013,2024-06-19,,pending,671.90,boleto,priority
100380,1164,10-21-2023,10-22-2023,shipped,543.47,pix,
100381,1630,07-Jun-2025,2025/06/19,shipped,785.39,pix,gift_wrap
100382,1948,2024/01/26,02-08-2024,delivered,58.53,pix,first-time customer
100383,1799,2025/05/31,06-11-2025,delivered,548.88,boleto,
100384,1198,2023/10/29,09/11/2023,delivered,123.76,credit_card,fragile
100385,1270,14/05/2023,19-5-2023,shipped,937.81,credit_card,first-time customer
100386,1611,22-Feb-2023,27-Feb-2023,shipped,77.52,pix,delay_expected
100387,1188,2024-06-17,20-Jun-2024,shipped,352.66,boleto,gift_wrap
100388,1369,28/10/2023,07-Nov-2023,delivered,981.23,credit_card,
